address,name,status,symboled,module,score,leaf_hint,body_bytes,cop2,loops,globals,return_kind,confidence,args,labels,callers,callees,calls_real,stub_frontier,conflicts,hub,hub_dir
0x00429f10,FUN_00429f10,real_logic,False,-,6.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
0x0042a7f8,FUN_0042a7f8,real_logic,False,-,6.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
0x0042acb0,FUN_0042acb0,real_logic,False,-,6.88,thunk,144,0,0,0,ret,0.50,a0=ptr;a1=int;a2=int;a3=int,a0=ptr|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
0x0042bd98,FUN_0042bd98,real_logic,False,-,6.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,3,0x004287e0,upstream
0x0042d6b0,FUN_0042d6b0,real_logic,False,-,6.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,0x00429068,upstream
0x00433ec0,FUN_00433ec0,real_logic,False,-,6.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,0x00429068,upstream
0x0042bd70,FUN_0042bd70,real_logic,False,-,6.68,thunk,134,0,0,0,int,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=int,1,1,1,,6,0x0042bd70,upstream
0x0016a110,FUN_0016a110,real_logic,False,-,6.62,convert,281,0,0,0,ptr,0.65,a0=ptr;a1=int;a2=int;a3=-,a0=ptr|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x00540780,FUN_00540780,real_logic,False,-,6.34,setter,317,0,0,0,int,0.55,a0=ptr;a1=ptr;a2=-;a3=-,a0=ptr|a1=Unknown_a1_0|a2=int|a3=int|ret=int,0,0,0,,1,,-
0x00404e80,FUN_00404e80,real_logic,False,-,6.18,memcmp,309,0,0,0,int,0.45,a0=-;a1=-;a2=-;a3=int,a3=int|ret=int,0,0,0,,0,,
0x001238d0,FUN_001238d0,real_logic,False,core/struct,6.16,setter,308,0,0,0,ptr,0.60,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_0_4_8_c|a1=Unknown_a1_0_4_8_c|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x001ca130,FUN_001ca130,real_logic,False,core/struct,6.16,setter,308,0,0,0,ptr,0.60,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_0_4_8_c|a1=Unknown_a1_0_4_8_c|a2=ptr|a3=int|ret=ptr,0,0,0,,0,,-
0x001ccb00,FUN_001ccb00,real_logic,False,core/struct,6.16,setter,308,0,0,0,ptr,0.60,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_0_4_8_c|a1=Unknown_a1_0_4_8_c|a2=ptr|a3=ptr|ret=ptr,0,0,0,,1,,-
0x001dbea0,FUN_001dbea0,real_logic,False,core/struct,6.16,setter,308,0,0,0,ptr,0.60,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_0_4_8_c|a1=Unknown_a1_0_4_8_c|a2=ptr|a3=int|ret=ptr,0,0,0,,0,,-
0x001df840,FUN_001df840,real_logic,False,core/struct,6.16,setter,308,0,0,0,ptr,0.60,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_0_4_8_c|a1=Unknown_a1_0_4_8_c|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x001dfdb0,FUN_001dfdb0,real_logic,False,core/struct,6.16,setter,308,0,0,0,ptr,0.60,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_0_4_8_c|a1=Unknown_a1_0_4_8_c|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
